timestamp_ms,csv_idx,body_name,des_pos_x,des_pos_y,des_pos_z,act_pos_x,act_pos_y,act_pos_z,pos_err_x,pos_err_y,pos_err_z,pos_err_norm,des_quat_w,des_quat_x,des_quat_y,des_quat_z,act_quat_w,act_quat_x,act_quat_y,act_quat_z,orient_err_angle
535,2,MIDDLE_EE,0.160135,-0.038680,0.043666,0.164279,-0.039823,0.035074,-0.004144,0.001143,0.008592,0.009608,0.982871,-0.011026,-0.020386,-0.182831,0.991453,-0.000528,0.001607,-0.130452,0.116831
561,3,PALM,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.993581,-0.053849,-0.099269,0.006559,0.999998,-0.001414,-0.001592,0.000083,0.222583
561,3,THUMB_EE,0.103545,0.073401,-0.008116,0.037968,0.102983,0.009590,0.065577,-0.029582,-0.017706,0.074088,0.811270,-0.501522,-0.122144,0.274572,0.651568,-0.655068,-0.270208,0.270801,0.534605
561,3,INDEX_EE,0.157637,0.004505,0.032932,0.155884,0.020124,0.034963,0.001753,-0.015619,-0.002031,0.015847,0.953250,-0.296527,-0.001188,-0.058160,0.999997,-0.001414,0.002021,0.000078,0.611247
561,3,MIDDLE_EE,0.160166,-0.038684,0.043553,0.164270,-0.039803,0.035018,-0.004104,0.001119,0.008535,0.009537,0.982862,-0.011316,-0.020089,-0.182894,0.991453,-0.000671,0.002211,-0.130447,0.117244
591,3,PALM,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.993581,-0.053849,-0.099269,0.006559,0.999997,-0.001674,-0.001677,0.000087,0.222189
591,3,THUMB_EE,0.103545,0.073401,-0.008116,0.037972,0.102982,0.009496,0.065573,-0.029581,-0.017611,0.074061,0.811270,-0.501522,-0.122144,0.274572,0.651307,-0.655348,-0.269979,0.270979,0.534985
591,3,INDEX_EE,0.157637,0.004505,0.032932,0.155878,0.020143,0.034886,0.001759,-0.015638,-0.001954,0.015857,0.953250,-0.296527,-0.001188,-0.058160,0.999995,-0.001674,0.002639,0.000079,0.610751
591,3,MIDDLE_EE,0.160166,-0.038684,0.043553,0.164264,-0.039784,0.034946,-0.004098,0.001100,0.008607,0.009596,0.982862,-0.011316,-0.020089,-0.182894,0.991451,-0.000816,0.002868,-0.130445,0.117701
625,3,PALM,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.993581,-0.053849,-0.099269,0.006559,0.999997,-0.001931,-0.001735,0.000090,0.221844
625,3,THUMB_EE,0.103545,0.073401,-0.008116,0.037976,0.102980,0.009399,0.065569,-0.029579,-0.017515,0.074034,0.811270,-0.501522,-0.122144,0.274572,0.651053,-0.655622,-0.269729,0.271175,0.535326
625,3,INDEX_EE,0.157637,0.004505,0.032932,0.155873,0.020162,0.034800,0.001764,-0.015656,-0.001868,0.015865,0.953250,-0.296527,-0.001188,-0.058160,0.999993,-0.001932,0.003292,0.000080,0.610264
625,3,MIDDLE_EE,0.160166,-0.038684,0.043553,0.164259,-0.039765,0.034865,-0.004093,0.001081,0.008689,0.009665,0.982862,-0.011316,-0.020089,-0.182894,0.991449,-0.000961,0.003559,-0.130444,0.118198
658,3,PALM,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.993581,-0.053849,-0.099269,0.006559,0.999996,-0.002186,-0.001776,0.000092,0.221533
658,3,THUMB_EE,0.103545,0.073401,-0.008116,0.037982,0.102978,0.009301,0.065563,-0.029578,-0.017417,0.074005,0.811270,-0.501522,-0.122144,0.274572,0.650805,-0.655890,-0.269465,0.271384,0.535639
658,3,INDEX_EE,0.157637,0.004505,0.032932,0.155869,0.020179,0.034709,0.001768,-0.015674,-0.001776,0.015873,0.953250,-0.296527,-0.001188,-0.058160,0.999990,-0.002186,0.003970,0.000079,0.609786
658,3,MIDDLE_EE,0.160166,-0.038684,0.043553,0.164255,-0.039747,0.034776,-0.004089,0.001063,0.008777,0.009741,0.982862,-0.011316,-0.020089,-0.182894,0.991446,-0.001103,0.004276,-0.130444,0.118729
690,4,PALM,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.993580,-0.053879,-0.099261,0.006582,0.999995,-0.002436,-0.001808,0.000094,0.221261
690,4,THUMB_EE,0.103435,0.073545,-0.008201,0.037987,0.102976,0.009202,0.065448,-0.029431,-0.017403,0.073841,0.811046,-0.501170,-0.122439,0.275740,0.650561,-0.656155,-0.269191,0.271601,0.535784
691,4,INDEX_EE,0.157643,0.004493,0.032863,0.155866,0.020197,0.034613,0.001777,-0.015704,-0.001750,0.015901,0.952886,-0.297729,-0.001383,-0.057986,0.999986,-0.002436,0.004665,0.000078,0.611728
691,4,MIDDLE_EE,0.160156,-0.038669,0.043642,0.164252,-0.039729,0.034682,-0.004096,0.001060,0.008960,0.009908,0.982922,-0.010279,-0.018576,-0.182793,0.991442,-0.001242,0.005012,-0.130444,0.117513
720,4,PALM,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.993580,-0.053879,-0.099261,0.006582,0.999995,-0.002681,-0.001834,0.000096,0.220987
720,4,THUMB_EE,0.103435,0.073545,-0.008201,0.037993,0.102974,0.009103,0.065442,-0.029429,-0.017304,0.073812,0.811046,-0.501170,-0.122439,0.275740,0.650321,-0.656416,-0.268910,0.271824,0.536065
720,4,INDEX_EE,0.157643,0.004493,0.032863,0.155864,0.020214,0.034514,0.001779,-0.015721,-0.001652,0.015907,0.952886,-0.297729,-0.001383,-0.057986,0.999982,-0.002681,0.005375,0.000077,0.611276
720,4,MIDDLE_EE,0.160156,-0.038669,0.043642,0.164249,-0.039712,0.034585,-0.004093,0.001043,0.009057,0.009993,0.982922,-0.010279,-0.018576,-0.182793,0.991438,-0.001375,0.005763,-0.130445,0.118081
742,4,PALM,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.993580,-0.053879,-0.099261,0.006582,0.999994,-0.002920,-0.001856,0.000098,0.220725
742,4,THUMB_EE,0.103435,0.073545,-0.008201,0.037999,0.102971,0.009003,0.065436,-0.029426,-0.017204,0.073782,0.811046,-0.501170,-0.122439,0.275740,0.650083,-0.656675,-0.268624,0.272051,0.536334
742,4,INDEX_EE,0.157643,0.004493,0.032863,0.155861,0.020230,0.034414,0.001782,-0.015737,-0.001551,0.015914,0.952886,-0.297729,-0.001383,-0.057986,0.999977,-0.002920,0.006098,0.000074,0.610839
742,4,MIDDLE_EE,0.160156,-0.038669,0.043642,0.164246,-0.039695,0.034484,-0.004090,0.001026,0.009157,0.010082,0.982922,-0.010279,-0.018576,-0.182793,0.991433,-0.001502,0.006527,-0.130447,0.118679
764,5,PALM,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.993596,-0.053659,-0.099218,0.006571,0.999993,-0.003153,-0.001876,0.000099,0.220197
764,5,THUMB_EE,0.103451,0.073515,-0.008253,0.038005,0.102968,0.008904,0.065446,-0.029454,-0.017158,0.073791,0.810904,-0.501585,-0.122017,0.275582,0.649848,-0.656930,-0.268334,0.272281,0.536412
764,5,INDEX_EE,0.157650,0.004491,0.032812,0.155858,0.020246,0.034312,0.001792,-0.015755,-0.001500,0.015927,0.952908,-0.297695,-0.001061,-0.057804,0.999972,-0.003153,0.006832,0.000072,0.610257
764,5,MIDDLE_EE,0.160155,-0.038674,0.043668,0.164243,-0.039679,0.034381,-0.004088,0.001005,0.009287,0.010196,0.982994,-0.008982,-0.016644,-0.182656,0.991427,-0.001621,0.007303,-0.130448,0.117086
786,5,PALM,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.993596,-0.053659,-0.099218,0.006571,0.999992,-0.003379,-0.001894,0.000101,0.219957
786,5,THUMB_EE,0.103451,0.073515,-0.008253,0.038011,0.102965,0.008805,0.065440,-0.029450,-0.017059,0.073762,0.810904,-0.501585,-0.122017,0.275582,0.649617,-0.657182,-0.268040,0.272514,0.536660
