Timestamp,Frame,PalmRoot_X,PalmRoot_Y,PalmRoot_Z,PalmRoot_QX,PalmRoot_QY,PalmRoot_QZ,PalmRoot_QW,ThumbTip_X,ThumbTip_Y,ThumbTip_Z,ThumbTip_QX,ThumbTip_QY,ThumbTip_QZ,ThumbTip_QW,IndexTip_X,IndexTip_Y,IndexTip_Z,IndexTip_QX,IndexTip_QY,IndexTip_QZ,IndexTip_QW,MiddleTip_X,MiddleTip_Y,MiddleTip_Z,MiddleTip_QX,MiddleTip_QY,MiddleTip_QZ,MiddleTip_QW
1756950833545,15,0,-0,0,-0.00646119,-0.0618766,0.00752921,0.998034,0.0507429,0.100511,-0.0171556,-0.486768,-0.468459,0.58804,0.444757,0.157286,-0.00721741,0.0300302,-0.340674,-0.0703129,-0.125681,0.929086,0.158522,-0.0495055,0.0339768,-0.0177096,-0.0342948,-0.245963,0.96851
1756950833578,16,0,-0,0,-0.000601025,-0.0627962,0.011029,0.997965,0.0497074,0.100649,-0.0160535,-0.48516,-0.476916,0.587469,0.43826,0.157287,-0.00632754,0.0302472,-0.337799,-0.0719269,-0.122614,0.930423,0.158849,-0.0486507,0.0336993,-0.011915,-0.0338788,-0.242344,0.969526
1756950833611,17,0,-0,0,0.0104566,-0.0651098,0.0170722,0.997677,0.048759,0.101383,-0.0139954,-0.481507,-0.487249,0.584243,0.435175,0.157253,-0.0047805,0.0307729,-0.324149,-0.0749317,-0.117141,0.935728,0.159431,-0.0470931,0.0332556,0.000226395,-0.0316148,-0.235138,0.971447
1756950833645,18,0,-0,0,0.0185226,-0.0695226,0.0205109,0.997197,0.0487626,0.102002,-0.0134866,-0.481346,-0.486617,0.583682,0.436798,0.15701,-0.00406863,0.0320713,-0.317369,-0.0803309,-0.115281,0.937832,0.159544,-0.0463024,0.0338871,0.00922893,-0.0338564,-0.231029,0.972313
1756950833678,19,0,-0,0,0.0205223,-0.0726646,0.0220904,0.9969,0.0502078,0.101378,-0.0171989,-0.495371,-0.470132,0.591495,0.428573,0.156775,-0.00372636,0.0332171,-0.314388,-0.082969,-0.116373,0.938471,0.15956,-0.0457939,0.0345589,0.0122011,-0.0351924,-0.228596,0.972807
1756950833711,20,0,-0,0,0.0222211,-0.0748927,0.0230171,0.996678,0.0518677,0.0997254,-0.0214611,-0.513597,-0.452978,0.599934,0.413732,0.15661,-0.0035236,0.0340245,-0.313373,-0.0853115,-0.11684,0.93855,0.159555,-0.0454857,0.035087,0.0190882,-0.0367422,-0.226398,0.973156
1756950833744,21,0,-0,0,0.024976,-0.0779471,0.0249659,0.996332,0.0542726,0.0982054,-0.0267366,-0.526947,-0.422738,0.611009,0.412655,0.156443,-0.00284767,0.0350264,-0.30697,-0.0877046,-0.115252,0.940635,0.159701,-0.0447686,0.0354328,0.0303881,-0.0370681,-0.221828,0.973907
1756950833777,22,0,-0,0,0.0231606,-0.0760932,0.025572,0.996504,0.0569194,0.0935536,-0.0359973,-0.552245,-0.378107,0.630938,0.392455,0.156583,-0.0017681,0.0351924,-0.300801,-0.0918203,-0.110425,0.942815,0.160246,-0.0437448,0.0348679,0.0352247,-0.0344307,-0.215312,0.975303
1756950833811,23,0,-0,0,0.0222069,-0.0753177,0.0269828,0.996547,0.0581812,0.0895508,-0.0411868,-0.575938,-0.359415,0.641971,0.356325,0.156653,-0.000474312,0.0355778,-0.297739,-0.0952042,-0.105096,0.944055,0.160795,-0.0423647,0.034886,0.0387436,-0.0368763,-0.207242,0.976826
1756950833844,24,0,-0,0,0.0279431,-0.0787091,0.0253623,0.996183,0.0614958,0.0808407,-0.0478698,-0.625325,-0.329003,0.652456,0.273942,0.156585,0.000596901,0.0372046,-0.288275,-0.0958533,-0.0976971,0.947717,0.161554,-0.0406343,0.0355851,0.0396213,-0.0321749,-0.190902,0.980282
1756950833877,25,0,-0,0,0.0341518,-0.0848903,0.0268607,0.995442,0.0624297,0.0726189,-0.0508945,-0.657971,-0.307791,0.661985,0.184584,0.156343,0.00294396,0.0393721,-0.278823,-0.0984891,-0.0840877,0.951568,0.162386,-0.0378161,0.0365056,0.0444453,-0.0270685,-0.170501,0.983982
1756950833910,26,0,-0,0,0.035614,-0.0889457,0.0260691,0.995058,0.0622074,0.0668808,-0.0510715,0.669815,0.295439,-0.669694,-0.124739,0.156264,0.00406843,0.0402703,-0.27584,-0.0993707,-0.0742608,0.953164,0.162681,-0.0366593,0.0369521,0.0447952,-0.0245386,-0.160785,0.985667
1756950833943,27,0,-0,0,0.0315535,-0.100768,0.0243459,0.994112,0.0612143,0.0586916,-0.0488158,-0.672855,-0.27478,0.684588,0.0558931,0.155654,0.00537426,0.0430268,-0.276908,-0.103399,-0.0642902,0.953153,0.162208,-0.0357419,0.0401148,0.0408981,-0.0312455,-0.153029,0.986881
1756950833977,28,0,-0,0,0.0268142,-0.112645,0.0198666,0.993075,0.0596791,0.0481218,-0.0448357,-0.659271,-0.232208,0.715151,0.0013871,0.155301,0.00664681,0.0445847,-0.281489,-0.0953257,-0.0495246,0.953533,0.162016,-0.0346207,0.0416366,0.0356454,-0.0237341,-0.14105,0.989076
1756950834010,29,0,-0,0,0.0210676,-0.136766,0.0103798,0.990325,0.0593232,0.0401604,-0.0394893,-0.652483,-0.191484,0.732889,-0.0219796,0.153462,0.00485039,0.0507747,-0.28489,-0.105007,-0.0555328,0.951172,0.160052,-0.0360214,0.0466313,0.0341895,-0.0228454,-0.139515,0.989366
1756950834043,30,0,-0,0,0.0168983,-0.157671,0.00289408,0.987343,0.058412,0.0359895,-0.0337306,-0.0164086,0.744535,0.173435,0.644434,0.152528,0.00425238,0.0527383,-0.29359,-0.0833218,-0.0487017,0.951046,0.158644,-0.0360758,0.0495063,0.0326109,-0.0149865,-0.13156,0.990658
1756950834076,31,0,-0,0,0.00647945,-0.185284,-0.00341882,0.982658,0.0589442,0.0332652,-0.0274794,-0.0101373,0.742853,0.162751,0.649313,0.150405,0.00381616,0.057404,-0.308489,-0.0792239,-0.0479312,0.946712,0.15602,-0.0364011,0.0549105,0.0237381,-0.0120241,-0.130394,0.991105
1756950834109,32,0,-0,0,0.000670714,-0.198983,-0.00504743,0.97999,0.0591347,0.0316884,-0.0215537,-0.00573241,0.748884,0.161275,0.642764,0.149358,0.00368024,0.0590854,-0.31284,-0.0739563,-0.0471205,0.94575,0.154908,-0.0360573,0.0557706,0.0178733,-0.00382998,-0.129109,0.991462
1756950834142,33,0,-0,0,-0.0164382,-0.218441,-0.00917403,0.975668,0.059905,0.0308963,-0.0176706,-0.000340439,0.739421,0.162828,0.653245,0.147569,0.00310362,0.0622322,-0.331749,-0.0688691,-0.0554243,0.939215,0.152688,-0.0356756,0.0595315,0.00631304,0.000710312,-0.13033,0.99145
1756950834175,34,0,-0,0,-0.0324733,-0.227908,-0.011497,0.973074,0.0605455,0.0303461,-0.0156988,0.00309343,0.732862,0.162469,0.660697,0.146901,0.00282842,0.0624368,-0.347517,-0.0531046,-0.0608957,0.934187,0.151434,-0.0351847,0.0615291,-0.00749238,0.0030948,-0.133298,0.991043
1756950834209,35,0,-0,0,-0.0468371,-0.237177,-0.0114002,0.97027,0.0618491,0.0303558,-0.0136885,0.0014224,0.723731,0.163416,0.670456,0.146167,0.00377015,0.0627519,-0.362587,-0.0407237,-0.0605331,0.92909,0.150344,-0.0339637,0.0634438,-0.0191506,0.00693557,-0.13373,0.990808
1756950834242,36,0,-0,0,-0.0539658,-0.242812,-0.0116117,0.9685,0.0619897,0.0303386,-0.0129811,-0.00059621,0.720178,0.163655,0.67418,0.145816,0.00383589,0.0620472,-0.369623,-0.0226836,-0.061179,0.926884,0.149841,-0.0329295,0.0639438,-0.0259297,0.00982606,-0.130773,0.991024
1756950834275,37,0,-0,0,-0.0593259,-0.250006,-0.0116221,0.966354,0.0621341,0.0302405,-0.011964,-0.0022555,0.717425,0.163296,0.677207,0.145053,0.00378212,0.0629231,-0.373145,-0.0170725,-0.0648934,0.925341,0.148888,-0.0326177,0.0655626,-0.0287492,0.010822,-0.13236,0.990725
1756950834308,38,0,-0,0,-0.0602965,-0.252078,-0.0116853,0.965757,0.0623805,0.0302888,-0.0111358,-0.00139708,0.715858,0.165382,0.678392,0.14485,0.00346096,0.0629215,-0.376999,-0.0123659,-0.0674867,0.923671,0.148619,-0.0326253,0.0658278,-0.0293195,0.0114511,-0.133022,0.990613
1756950834341,39,0,-0,0,-0.0614368,-0.252701,-0.0120904,0.965514,0.0632471,0.0306492,-0.0102899,0.00195273,0.710963,0.170637,0.682165,0.144936,0.00313889,0.0616416,-0.381583,-0.000987732,-0.065995,0.921969,0.148485,-0.0329743,0.0653237,-0.0281665,0.0200186,-0.135448,0.990181
